RowNum,State,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M,Population
26,Oklahoma ,"530,594 ",,"7,676 ", ,"500,551 ","22,367 ","134,091","1,940","4,304,655 ","1,087,866","3,956,971 "
35,Oregon ,"257,644 ",,"3,036 ", ,"207,332 ","47,276 ","61,086",720,"6,131,165 ","1,453,662","4,217,737 "
7,Pennsylvania ,"1,276,826 ","+2,464 ","28,184 ",+21 ,"1,198,807 ","49,835 ","99,737","2,202","15,672,724 ","1,224,241","12,801,989 "
40,Rhode Island ,"160,329 ",,"2,757 ", ,N/A ,N/A ,"151,345","2,603","4,784,499 ","4,516,401","1,059,361 "
19,South Carolina ,"695,489 ",,"10,314 ", ,"586,186 ","98,989 ","135,080","2,003","9,196,255 ","1,786,127","5,148,714 "
41,South Dakota ,"128,626 ",,"2,057 ", ,"123,980 ","2,589 ","145,396","2,325","1,335,077 ","1,509,143","884,659 "
12,Tennessee ,"997,479 ",,"13,204 ", ,"916,213 ","68,062 ","146,061","1,933","8,903,976 ","1,303,814","6,829,174 "
2,Texas ,"3,475,591 ",,"55,541 ", ,"3,133,943 ","286,107 ","119,865","1,915","36,338,665 ","1,253,235","28,995,881 "
28,Utah ,"454,373 ",,"2,584 ", ,"431,799 ","19,990 ","141,728",806,"5,566,812 ","1,736,396","3,205,958 "
51,Vermont ,"27,132 ",,270 , ,"24,731 ","2,131 ","43,482",433,"1,852,848 ","2,969,360","623,989 "
16,Virginia ,"741,160 ",,"11,675 ", ,N/A ,N/A ,"86,832","1,368","11,273,000 ","1,320,716","8,535,519 "
25,Washington ,"538,535 ",,"6,429 ", ,"241,798 ","290,308 ","70,721",844,"9,313,652 ","1,223,084","7,614,893 "
39,West Virginia ,"180,019 ",,"3,016 ", ,"166,460 ","10,543  ","100,449","1,683","3,297,722 ","1,840,096","1,792,147 "
18,Wisconsin ,"717,911 ",,"8,373 ", ,N/A ,N/A ,"123,301","1,438","9,614,339 ","1,651,258","5,822,434 "
48,Wyoming ,"71,562 ",,809 , ,"67,971 ","2,782 ","123,647","1,398","865,414 ","1,495,293","578,759 "
